Time (s), X Position (pixels), Y Position (pixels)
0.0,245.579355952,135.377228292
0.0333333333333,235.976578121,135.038274779
0.0666666666667,226.729478138,134.423695346
0.1,218.329679364,133.697451357
0.133333333333,209.342912946,132.899832589
0.166666666667,201.032920653,132.169386607
0.2,193.255199550,131.413996627
0.233333333333,185.952112676,130.935211268
0.266666666667,178.913797929,130.493982648
0.3,172.463865546,130.153221289
0.333333333333,166.625523597,129.913432002
0.366666666667,161.256481740,129.456927795
0.4,156.651292026,129.007502084
0.433333333333,152.687118268,128.606052193
0.466666666667,149.437034996,128.075227335
0.5,147.078630137,127.785479452
0.533333333333,145.332426551,127.347932535
0.566666666667,144.313477089,127.153908356
0.6,144.098070740,127.034030011
0.633333333333,144.657486631,127.102139037
0.666666666667,146.126436782,127.356856455
0.7,148.256698821,127.786441586
0.733333333333,151.276220977,128.271417134
0.766666666667,155.134264232,128.962674544
0.8,159.747030238,129.630939525
0.833333333333,165.063973977,130.300081323
0.866666666667,171.101117471,131.032433906
0.9,177.878555799,131.552242888
0.933333333333,185.261839207,132.178414097
0.966666666667,193.356012219,132.886142738
1.0,201.976835054,133.333240301
1.03333333333,211.481409545,133.996115427
1.06666666667,221.006670372,134.350194553
1.1,230.267505001,134.795655902
1.13333333333,240.112398610,135.039107764
1.16666666667,250.330600293,134.931185944
1.2,260.772606775,134.649779087
1.23333333333,270.870512066,134.273984697
1.26666666667,280.758809936,133.561813980
1.3,291.841525171,132.427762884
1.33333333333,301.866505587,130.933554817
1.36666666667,311.229260935,129.317345400
1.4,320.253153153,127.831231231
1.43333333333,329.397439805,125.748857056
1.46666666667,337.768518519,123.642283951
1.5,346.257829127,121.867436911
1.53333333333,353.765553172,119.832056390
1.56666666667,361.263478526,118.144989339
1.6,367.929654336,116.494845361
1.63333333333,373.876135675,114.847668080
1.66666666667,379.199755651,113.166157605
1.7,384.238297872,111.792097264
1.73333333333,388.800061143,110.501375726
1.76666666667,392.648574894,109.582777441
1.8,395.717527620,109.098536877
1.83333333333,398.425379803,108.397080727
1.86666666667,400.488815986,107.997017596
1.9,402.066448153,107.789928486
1.93333333333,402.775692583,107.830205541
1.96666666667,402.865355973,107.818290140
2.0,402.247104247,108.104247104
2.03333333333,400.983121113,108.574474386
2.06666666667,398.899169632,109.217081851
2.1,396.157037037,110.059555556
2.13333333333,392.706180950,111.101522843
2.16666666667,388.616811247,112.215375411
2.2,383.885765550,113.763456938
2.23333333333,378.564825930,115.341836735
2.26666666667,372.494015560,116.882106523
2.3,366.001785183,118.562035109
2.33333333333,358.787272184,119.989841649
2.36666666667,350.849984998,121.663066307
2.4,342.753623188,123.227657005
2.43333333333,334.186081694,125.031467474
2.46666666667,325.230538022,126.712052901
2.5,316.195827124,128.550819672
2.53333333333,307.221153846,129.881009615
2.56666666667,297.894911171,130.966275218
2.6,288.078350515,132.211487482
2.63333333333,278.003556609,132.840248963
2.66666666667,268.760000000,133.608358209
2.7,259.736810371,133.631594815
2.73333333333,250.186915888,133.846548086
2.76666666667,241.321417933,134.151623473
2.8,232.736420303,133.872662511
