"Time (s)","Bridge Pos (m)","Trolley 1 Pos (m)","Trolley 1 Cable Length (m)","Trolley 1 - Trolley direction deflection (m)","Trolley 1 - Bridge direction deflection (m)","Trolley 2 Pos (m)","Trolley 2 Cable Length (m)","Trolley 2 - Trolley direction deflection (m)","Trolley 2 - Bridge direction deflection (m)","Rigid Z Position (m)","Rigid Z Length (m)"
0,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
0.04,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
0.08,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
0.12,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
0.16,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
0.2,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
0.24,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
0.28,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
0.32,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
0.36,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
0.4,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
0.44,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
0.48,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
0.52,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
0.56,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
0.6,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
0.64,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
0.68,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
0.72,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
0.76,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
0.8,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
0.84,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
0.88,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
0.92,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
0.96,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
1,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
1.04,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
1.08,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
1.12,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
1.16,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
1.2,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
1.24,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
1.28,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
1.32,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
1.36,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
1.4,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
1.44,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
1.48,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
1.52,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
1.56,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
1.6,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
1.64,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
1.68,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
1.72,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
1.76,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
1.8,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
1.84,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
1.88,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
1.92,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
1.96,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
2,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
2.04,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
2.08,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
2.12,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
2.16,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
2.2,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
2.24,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
2.28,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
2.32,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
2.36,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
2.4,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
2.44,6.225,3.064,1.08,0.01,0,5.299,1.11,0,0.02,0,0
